airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0,n_points,max_camber,max_camber_loc,max_thickness,max_thickness_loc,le_thickness,te_thickness,camber_at_25,camber_area
goe228,300000,1.9201,14.0,0.01189,81.03372028745164,6.0,0.8859,20,0.07003,0.495,0.17853,0.297,0.1343,0.02694,0.05819,0.04921
goe535,300000,1.7314,15.0,0.01231,80.7662192393736,8.0,0.6496,21,0.05743,0.495,0.1605,0.267,0.13635,0.02102,0.04887,0.04044
mh42,300000,1.0967,11.0,0.00811,76.3157894736842,5.0,-0.1455,14,0.01892,0.376,0.08932,0.287,0.06886,0.01324,0.0175,0.01183
mh44,300000,1.1427,12.0,0.00807,69.0782953419227,5.0,-0.1183,17,0.01537,0.366,0.09654,0.277,0.07572,0.01612,0.01456,0.00947
mh45,300000,1.2082,13.0,0.00826,69.73045822102426,6.0,-0.1359,17,0.01706,0.327,0.09842,0.267,0.07856,0.01098,0.01632,0.01008
mh60,300000,1.1895,12.0,0.00824,70.79892280071813,6.0,-0.2276,16,0.01818,0.366,0.1008,0.277,0.07953,0.01159,0.01733,0.01087
mh61,300000,1.0123,10.0,0.00802,72.90105667627282,6.0,0.1183,17,0.01514,0.366,0.10234,0.277,0.07518,0.0125,0.01378,0.00865
mh62,300000,1.1264,12.0,0.00801,69.39339875111509,6.0,-0.1205,17,0.01643,0.376,0.09288,0.277,0.07374,0.01076,0.01543,0.00997
mh78,300000,1.4285,15.0,0.01022,55.60220994475137,8.0,0.0288,21,0.02681,0.168,0.14448,0.208,0.12546,0.01768,0.02454,0.01159
naca0010,300000,1.0539,11.0,0.00804,49.0108803165183,4.0,-0.304,18,0.0,0.01,0.09998,0.297,0.07796,0.02413,0.0,0.0
naca0015,300000,1.2254,15.0,0.00869,56.71552298467687,7.0,0.0,21,0.0,0.01,0.14995,0.297,0.11694,0.03618,0.0,0.0
naca1408,300000,1.0032,10.0,0.00805,59.71398305084745,4.0,-0.1781,14,0.00998,0.406,0.07999,0.297,0.06241,0.0193,0.0086,0.00666
naca1412,300000,1.2621,14.0,0.00815,64.92180312787488,5.0,0.2422,19,0.00998,0.406,0.11999,0.297,0.09359,0.02895,0.00862,0.00671
naca2410,300000,1.2815,13.0,0.00839,75.8743961352657,5.0,0.0193,17,0.01997,0.406,0.10002,0.297,0.07808,0.02416,0.01722,0.01336
naca2412,300000,1.3405,15.0,0.00818,75.42688081149619,6.0,0.4048,19,0.01997,0.406,0.11994,0.297,0.0937,0.02898,0.01723,0.01345
naca2415,300000,1.33,15.0,0.00882,73.69565217391305,6.0,0.2336,21,0.01997,0.406,0.14992,0.297,0.11718,0.03618,0.01732,0.01354
naca2418,300000,1.3143,15.0,0.01012,70.60761346998535,6.0,0.2354,19,0.01997,0.406,0.1799,0.297,0.14066,0.04338,0.01733,0.01364
naca4412,300000,1.4436,15.0,0.00812,90.71954210956665,6.0,0.497,21,0.03994,0.406,0.12014,0.297,0.0944,0.02928,0.0345,0.02683
naca4415,300000,1.4095,15.0,0.00931,82.4980959634425,6.0,0.4123,20,0.04009,0.406,0.14994,0.307,0.11806,0.03649,0.03462,0.0272
naca4418,300000,1.481,14.0,0.0107,78.69594145043247,7.0,0.4682,21,0.03995,0.406,0.18012,0.297,0.14155,0.04387,0.03452,0.02726
s1020,300000,1.4827,11.0,0.0107,99.5144870790916,6.0,0.6809,20,0.05048,0.525,0.15091,0.337,0.10294,0.02988,0.0392,0.03546
s1046,300000,1.1394,13.0,0.01048,64.16342412451361,9.0,-0.0,21,0.0,0.01,0.1699,0.307,0.12732,0.0242,0.0,0.0
s1048,300000,1.0193,14.0,0.00935,64.88390712570056,7.0,0.0,21,0.0,0.01,0.13968,0.277,0.10329,0.02096,0.0,0.0
s1210,300000,1.9761,13.0,0.01141,101.72434367541766,6.0,1.0595,21,0.07202,0.515,0.11998,0.218,0.10014,0.00725,0.05568,0.05172
s1221,300000,1.9765,13.0,0.01143,85.85489833641405,11.0,0.6832,21,0.05401,0.525,0.12138,0.218,0.10088,0.00625,0.045,0.04164
s2027,300000,1.3573,12.0,0.0097,82.43571428571428,8.0,0.2941,21,0.02743,0.376,0.14502,0.297,0.10371,0.01944,0.02569,0.01872
sd2030,300000,1.2148,12.0,0.00841,87.38406658739595,4.0,0.3631,17,0.02248,0.455,0.08559,0.356,0.06449,0.02065,0.01946,0.01602
sd6060,300000,1.1318,12.0,0.00806,81.22844827586208,5.0,0.1683,20,0.01846,0.386,0.10362,0.337,0.07388,0.01807,0.0171,0.0118
sd6080,300000,1.3564,14.0,0.00804,97.32710280373831,6.0,0.5114,18,0.03742,0.406,0.09186,0.307,0.07082,0.01327,0.03282,0.02469
sd7003,300000,1.2681,12.0,0.00851,66.8502024291498,6.0,-0.2263,16,0.01457,0.337,0.08503,0.248,0.07189,0.01151,0.01391,0.01026
sd7062,300000,1.5861,15.0,0.00949,82.2878787878788,6.0,0.4447,19,0.03968,0.386,0.13977,0.267,0.11223,0.01856,0.0371,0.02748
sd7080,300000,1.2812,13.0,0.00829,79.0530303030303,5.0,0.0938,17,0.02483,0.396,0.09152,0.297,0.07286,0.01582,0.02268,0.01766
sd7084,300000,1.19,13.0,0.00879,75.09896324222431,5.0,0.0405,15,0.02309,0.386,0.09624,0.297,0.07498,0.01895,0.02171,0.01598
clarky,400000,1.4205,13.0,0.00817,92.72017837235228,4.0,0.2829,17,0.03432,0.416,0.11705,0.277,0.09232,0.02777,0.03015,0.02285
e168,400000,1.1054,13.0,0.00826,68.30042918454934,7.0,0.0,21,0.0,0.01,0.12442,0.267,0.09764,0.01775,0.0,0.0
e186,400000,1.0063,11.0,0.00853,74.56611570247934,6.0,0.0469,16,0.01312,0.267,0.10263,0.307,0.0743,0.01694,0.01285,0.00702
e193,400000,1.2918,14.0,0.00833,105.94622543950362,6.0,0.1566,17,0.03572,0.406,0.10217,0.317,0.07474,0.01889,0.03057,0.02302
e195,400000,1.2541,15.0,0.0082,103.34710743801654,6.0,0.1143,18,0.03189,0.436,0.11807,0.337,0.08384,0.02089,0.02688,0.02056
e197,400000,1.2088,15.0,0.00845,102.33940556088206,7.0,0.2911,20,0.02805,0.436,0.13474,0.347,0.09328,0.02287,0.02308,0.01801
e203,400000,1.2457,15.0,0.00878,100.45362903225806,6.0,0.3492,21,0.02673,0.495,0.13622,0.327,0.09452,0.02278,0.01993,0.01799
