airfoil,reynolds,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
naca2412,400000,1.3677,15.0,0.00822,82.09016393442623,5.0,-0.0748
naca2415,400000,1.3476,15.0,0.00807,80.9419014084507,6.0,0.1334
naca2418,400000,1.3501,15.0,0.00914,77.6395534290271,6.0,0.2371
naca4412,400000,1.4766,15.0,0.0082,99.9820143884892,6.0,0.373
naca4415,400000,1.441,15.0,0.0086,90.13456686291002,6.0,0.4105
naca4418,400000,1.5077,15.0,0.0097,86.58302583025831,7.0,0.4711
s1020,400000,1.4746,11.0,0.00927,111.12091791703442,6.0,0.6874
s1046,400000,1.1651,13.0,0.00933,71.44182726623839,9.0,-0.0
s1048,400000,1.0419,13.0,0.00837,71.00781928757603,7.0,0.0
s1091,400000,1.6443,13.0,0.00805,116.57519209659715,4.0,0.6624
s1210,400000,2.0259,13.0,0.01072,112.54437869822486,6.0,1.064
s1221,400000,1.9995,13.0,0.01055,97.81748213304013,10.0,0.6911
s1223,400000,2.3356,14.0,0.01458,92.01907790143083,5.0,1.1793
s2027,400000,1.3632,12.0,0.00855,92.11438474870018,7.0,0.2976
sd2030,400000,1.2503,12.0,0.00806,90.39702233250621,4.0,0.075
sd6060,400000,1.152,12.0,0.00851,88.60164512338426,5.0,-0.1403
sd6080,400000,1.3667,14.0,0.00818,107.1331058020478,5.0,0.1759
sd7032,400000,1.5244,13.0,0.00806,98.66197183098592,5.0,0.238
sd7062,400000,1.6076,15.0,0.00861,91.6023489932886,6.0,0.4497
sd7080,400000,1.3121,12.0,0.00816,85.96509240246407,5.0,0.1056
sd7084,400000,1.216,12.0,0.00866,82.04312114989733,5.0,-0.0434
